source_file,session,scent,label,gas_trough_d,gas_mean_d,humid_peak_d,humid_mean_d,temp_d,gas_peak_d,gas_range_d,gas_slope,gas_recovery,gas_trough_pct,gas_skew,humid_recovery,humid_std,gas_late_slope,gas_std,time_to_trough
smell_baseline_2026-06-01.csv,baseline_2026-06-01,baseline,baseline,0.1499999999999914,1.1474999999999935,0.1033333333333459,-0.2283333333333175,0.0838333333333274,2.1499999999999915,2.0,0.006896551724138,11.28888888888959,0.2284843869002155,0.192894710084175,-4.451612903225203,0.1290886861382081,0.0182189497082534,0.5407498651564014,2
smell_baseline_2026-06-08.csv,baseline_2026-06-08_aft,baseline,baseline,-0.8666666666666742,0.9108333333333292,0.1799999999999997,-1.0183333333333309,0.1916666666666699,3.033333333333331,3.9000000000000057,-0.006896551724138,3.949999999999964,-1.148409893992943,0.2286301699603617,-13.0185185185185,0.9135081949398276,0.0361016949152556,1.292379104597409,8
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.2599999999999767,0.4133333333333553,0.2166666666666614,-0.1366666666666702,0.100999999999999,1.2400000000000233,1.5,0.0103448275862068,4.1025641025644015,-0.3534529635671245,0.1005401332037551,-1.8153846153846476,0.1040299102288488,0.007913309252571,0.3852993064561046,11
smell_baseline_2026-06-08.csv,baseline_2026-06-08_eve,baseline,baseline,-0.7449999999999903,0.2533333333333303,0.8416666666666615,0.0799999999999983,0.0734166666666702,0.7550000000000097,1.5,-0.0137931034482755,0.8008948545861175,-0.9980574720342829,-0.9089300578127784,-0.8158415841584302,0.2041989770352006,-0.0120644623506529,0.3568340728623819,101
smell_baseline_2026-07-17.csv,baseline_2026-07-17_aft,baseline,baseline,-2.8166666666666913,1.1574999999999989,0.6416666666666657,-0.2616666666666702,0.0299166666666685,4.983333333333292,7.799999999999983,0.117241379310345,1.6733727810650758,-1.11587982832619,-0.2012351757965685,-1.0389610389610258,0.2020450994758892,0.0018782995276501,1.2852039937517905,0
smell_baseline_2026-07-17.csv,baseline_2026-07-17_eve,baseline,baseline,-2.749999999999943,-0.8483333333332723,0.0816666666666776,-0.2199999999999988,0.1022499999999873,0.9500000000000456,3.6999999999999886,0.0206896551724145,0.3539393939394101,-1.1596036263967715,0.0283320344446339,-4.933333333333394,0.1449041829010541,-0.0221283689913853,0.8877859476748255,119
smell_baseline_2026-07-17.csv,baseline_2026-07-17_eve,baseline,baseline,-2.8566666666666833,0.7241666666666333,-0.0983333333333291,-0.289999999999992,0.0841666666666753,2.6433333333333167,5.5,0.0344827586206896,1.47957992998833,-1.244970001597985,-0.9932725176523178,-2.9333333333333655,0.1339050243850298,0.0566268407891125,1.1007040045150895,58
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,3.0699999999999648,10.401666666666586,-0.2500000000000142,-0.798333333333332,0.0017500000000012,19.869999999999948,16.799999999999983,0.072413793103448,4.251900108577675,1.280073385314583,0.2095745202984307,-3.826666666666436,0.3499960317235356,0.1265018060572422,4.462603562445979,0
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,-0.0233333333333689,2.1949999999999363,1.144999999999996,0.5049999999999955,-0.0219999999999949,4.276666666666586,4.2999999999999545,0.0206896551724126,24.33333333333223,-0.0089016620674881,-0.0296531474298526,-0.2445414847161466,0.2847220867208351,0.0217727146429595,1.0546708280575314,76
smell_baseline_2026-07-17_1.csv,baseline_1,baseline,baseline,-4.276666666666642,-0.8666666666666742,1.1800000000000068,0.6158333333333275,0.0226666666666695,1.8233333333333237,6.099999999999966,-0.013793103448275,0.3226812159002346,-1.6103322330023884,-0.2250454105998542,-0.1129943502824908,0.3673771525588147,-0.0526868574604019,1.5557099129764942,119
smell_black_opium_2026-05-29.csv,black_opium_2026-05-29_t0,black_opium,perfume,-39.72666666666666,-10.270000000000003,1.3500000000000014,0.2774999999999963,-0.2206666666666663,-0.1266666666666651,39.599999999999994,-0.6862068965517241,0.9733176707501258,-67.30291393720351,-1.1279258005671844,-0.9555555555555592,0.3607775168530692,0.0521311475409841,11.451999340241375,14
smell_black_opium_2026-05-31.csv,black_opium_2026-05-31_t0,black_opium,perfume,-45.346666666666664,-19.263333333333335,1.5133333333333283,0.5066666666666606,-0.1636666666666677,0.8533333333333317,46.2,-1.4344827586206896,0.882975595413114,-76.15315718763995,-0.4319444806210886,-0.9427312775330446,0.3586394041683406,0.1978883023061972,13.83878808117082,8
smell_black_opium_2026-06-01.csv,black_opium_2026-06-01_t0,black_opium,perfume,-48.976666666666674,-19.745833333333337,1.480000000000004,0.4116666666666759,-0.090166666666672,0.5233333333333263,49.5,-1.3310344827586205,0.8362485537330699,-77.89323013306473,-0.8838045207751916,-0.8873873873873893,0.4171297426727358,0.0563906640733534,14.429147559906497,16
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t0,blackberry_bay,perfume,-50.57666666666668,-26.550833333333344,0.769999999999996,0.1774999999999948,-0.0345833333333445,0.3233333333333235,50.900000000000006,-1.6655172413793105,0.7962828708890792,-77.95817705389715,-0.0339593794391841,-0.8225108225108262,0.3507521679666903,0.3540094470686306,13.75192408255013,9
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t1,blackberry_bay,perfume,-58.33333333333333,-40.86,5.94666666666668,3.024166666666673,-0.8156666666666617,0.0666666666666628,58.39999999999999,-1.9172413793103449,0.5930857142857144,-91.09838625715771,0.4430749306960709,-0.2696188340807178,2.3579108867809233,0.432258960822451,14.402006418860148,8
smell_blackberry_bay_2026-06-01.csv,blackberry_bay_2026-06-01_t2,blackberry_bay,perfume,-35.20666666666668,-5.948333333333345,0.5600000000000023,0.1333333333333399,0.0428333333333306,0.7933333333333223,36.0,-0.389655172413793,1.0047339519030485,-57.89935314110296,-1.878870677557738,-1.047619047619042,0.1956754682858555,0.0502472909141431,8.892811547661527,8
smell_bluebell_2026-06-01.csv,bluebell_2026-06-01_t0,bluebell,perfume,-45.903333333333336,-17.59666666666668,2.5433333333333223,0.8833333333333186,-0.2130833333333299,0.8966666666666612,46.8,-1.4517241379310344,0.8711785636482462,-73.20716601988198,-0.5653448578027752,-0.6120576671035461,0.5877074101966048,0.1625646012781334,12.001886888689166,27
smell_bluebell_2026-06-01.csv,bluebell_2026-06-01_t1,bluebell,perfume,-55.515,-21.341666666666676,2.991666666666667,1.3233333333333306,-0.2644166666666585,-0.1149999999999948,55.400000000000006,-1.5965517241379312,0.8668528025458585,-84.73631992673434,-0.7534825336480744,-0.5805013927576618,1.0971161692769322,0.2331342039455415,15.367838350124444,17
